Subject,ROI,MNI_Y,Size,Mean_Tval,DICE,Faces (DSC w/o),Limbs (DSC w/o),Parcel_Comp,Parcel_Dist
sub-01,Rnd1Tmax2day2VB,-80.22254943847656,169,7.3694444119552776,0.679,45 (0.555),33 (0.576),88 (G_and_S_occipital_inf),29.118469967568377
sub-01,Rnd2Tmax1day1VA,-89.72359466552734,182,11.374305739812552,0.626,115 (0.543),90 (0.527),178 (G_and_S_occipital_inf),54.84572655714309
sub-01,Rnd3Tmax1day2VB,-71.49151611328125,125,5.081564716865122,0.6252519467043592,39 (0.488),51 (0.453),125 (G_oc-temp_lat-fusifor),32.97666149217212
sub-01,Rnd4Tmax1day2VA,-59.687740325927734,180,2.987353575100812,0.5889185997402924,0 (0.589),0 (0.589),143 (S_oc-temp_lat),8.707822065925242
sub-01,Rnd5Tmax1day3PF,-55.181678771972656,103,2.3613106981272476,0.3737177874107699,2 (0.378),0 (0.374),103 (G_oc-temp_lat-fusifor),11.835198184104922
sub-01,Rnd6Tmax2day3PF,-45.448909759521484,60,1.5735726844519378,0.3283006462933976,0 (0.328),0 (0.328),35 (G_oc-temp_lat-fusifor),52.108872345239234
sub-02,Rnd1Tmax2day1VA,-30.870325088500977,123,8.809862666134912,0.8666666666666667,65 (0.808),8 (0.864),96 (G_oc-temp_lat-fusifor),41.4176024055782
sub-02,Rnd2Tmax2day2VA,-22.64213752746582,129,11.532958542191706,0.86,32 (0.874),0 (0.860),88 (G_oc-temp_lat-fusifor),24.519447146902532
sub-02,Rnd3Tmax1day2VA,-25.140832901000977,126,8.557553810732704,0.8433333333333333,71 (0.843),20 (0.852),118 (G_oc-temp_lat-fusifor),22.58025464953044
sub-02,Rnd4Tmax1day1VA,-40.12785720825195,155,9.633742383927588,0.6967336683417086,93 (0.474),88 (0.569),138 (G_and_S_occipital_inf),30.032940911755567
sub-02,Rnd5Tmax2day2VA,-40.49485778808594,141,8.59897970984168,0.7850000000000001,6 (0.797),33 (0.843),78 (G_and_S_occipital_inf),63.627981000525
sub-02,Rnd6Tmax2day1VB,-11.888402938842773,182,4.5182496643469126,0.6383333333333333,0 (0.638),0 (0.638),176 (G_oc-temp_lat-fusifor),31.829167264340725
sub-03,Rnd1Tmax1day2VA,-57.192623138427734,142,11.860056538565058,0.7792525252525253,71 (0.707),58 (0.793),141 (G_and_S_occipital_inf),37.63661424040397
sub-03,Rnd2Tmax2day2VB,-10.943055152893066,147,6.325091100793307,0.773,0 (0.773),0 (0.773),112 (S_oc-temp_lat),27.70696082467949
sub-03,Rnd3Tmax2day2VA,-27.062957763671875,166,7.423444989139596,0.6869999999999999,127 (0.264),11 (0.702),75 (S_oc-temp_lat),28.730831135488476
