subj,k,gdice
sub-01,1,
sub-01,1,0.23095238095238094
sub-01,1,0.19607843137254902
sub-01,1,0.6716895282193928
sub-01,1,0.02973977695167286
sub-01,2,0.2613510520487265
sub-01,2,0.2318840579710145
sub-01,2,0.7732464037730159
sub-01,2,0.27705627705627706
sub-01,2,0.2528735632183908
sub-01,2,0.7950786813739046
sub-01,2,0.9101552372469962
sub-01,2,0.7267032029888351
sub-01,2,0.8442852125472643
sub-01,2,0.8569025171290328
sub-01,3,0.27705627705627706
sub-01,3,0.8813071895424837
sub-01,3,0.9767569895428879
sub-01,3,0.8176322467568585
sub-01,3,0.9105701334473538
sub-01,3,0.9242345605495248
sub-01,3,0.818318571037849
sub-01,3,0.9341406202220236
sub-01,3,0.9258136780018744
sub-01,3,0.8870575130637052
sub-01,4,0.9058255457168195
sub-01,4,0.9980823752097402
sub-01,4,0.9879408523053138
sub-01,4,0.9477143955852511
sub-01,4,0.9377216902043118
sub-01,5,1.0
sub-02,1,0.19796215429403205
sub-02,1,0.2911208151382824
sub-02,1,0.5301361569476112
sub-02,1,0.55070783578725
sub-02,2,0.8352494427179661
sub-02,2,0.9257216669659066
sub-02,2,0.8861224442352175
sub-02,2,0.3300395708959491
sub-02,2,0.9191327960880021
sub-02,2,0.9282966572361175
sub-02,3,0.9837873538165125
sub-02,3,0.8752873563218392
sub-02,3,0.9553768839699464
sub-02,3,0.9745941043083901
sub-02,4,1.0
sub-03,1,0.49296317717370347
sub-03,1,0.11003236245954694
sub-03,1,0.097165991902834
sub-03,1,0.13270142180094788
sub-03,1,0.4804318488529014
sub-03,2,0.8864785265417724
sub-03,2,0.5682106000592784
sub-03,2,0.892028825132542
sub-03,2,0.5836425216836013
sub-03,2,0.5603363138929668
sub-03,2,0.10742496050552923
sub-03,2,0.8746569228388816
sub-03,2,0.5640611541774332
sub-03,2,0.5781827275220626
sub-03,2,0.6014629049111808
sub-03,3,0.9198847251770692
sub-03,3,0.936984623455059
sub-03,3,0.5906788247213779
sub-03,3,0.6021099887766554
sub-03,3,0.6063111698290852
sub-03,3,0.6182956731122172
sub-03,3,0.9018149754866781
sub-03,3,0.9363423477653036
sub-03,3,0.6086527519698083
sub-03,3,0.6259456769055745
sub-03,4,0.953871058517881
sub-03,4,0.9687906211435623
sub-03,4,0.6814129170624695
sub-03,4,0.6265822784810127
sub-03,4,0.6363623435722411
sub-03,5,1.0
sub-04,1,0.25889781859931116
sub-04,1,0.0
sub-04,1,0.7215994855653705
sub-04,1,0.25641025641025644
sub-04,1,0.24
sub-04,2,0.7785176763575334
sub-04,2,0.8774321613346002
sub-04,2,0.28975265017667845
sub-04,2,0.2773722627737226
sub-04,2,0.0
sub-04,2,0.2843488649940263
sub-04,2,0.2759462759462759
sub-04,2,0.0
sub-04,2,0.8506577090661289
sub-04,2,0.2773722627737226
sub-04,3,0.9353746646474462
sub-04,3,0.30630630630630634
sub-04,3,0.2988505747126437
sub-04,3,0.9366019669059558
sub-04,3,0.9511809492767919
sub-04,3,0.2988505747126437
sub-04,3,0.0
sub-04,3,0.8913972796325739
sub-04,3,0.2937062937062937
sub-04,3,0.9208919847840275
sub-04,4,0.9669823965915726
sub-04,4,0.9904579665773695
sub-04,4,0.3111111111111111
sub-04,4,0.9740123938407454
sub-04,4,0.9370726495726496
sub-04,5,1.0
sub-05,1,0.7029454955688469
sub-05,1,0.27896716941660765
sub-05,1,0.6527126784820971
sub-05,1,0.7164590090823605
sub-05,1,0.487301052884834
sub-05,1,0.41586530350575296
sub-05,1,0.3960842865337248
sub-05,2,0.7392985177091411
sub-05,2,0.2579908675799087
sub-05,2,0.2773892773892774
sub-05,2,0.3582488923981226
sub-05,2,0.8532080059857837
sub-05,2,0.2930648769574944
sub-05,2,0.2718676122931442
sub-05,2,0.3562712143100431
sub-05,2,0.3063646170442287
sub-05,2,0.8604452430867525
sub-05,2,0.3165618448637317
sub-05,2,0.8035125276071332
sub-05,2,0.29014396456256925
sub-05,2,0.7968480731147313
sub-05,2,0.8136542975724262
sub-05,2,0.40965290182480474
sub-05,2,0.8624651658307633
sub-05,2,0.8558834285724809
sub-05,2,0.46280968527761984
sub-05,2,0.42758620689655175
sub-05,2,0.4357142857142857
sub-05,3,0.7816715808920905
sub-05,3,0.3647372348363714
sub-05,3,0.3833053819655901
sub-05,3,0.8921331359236683
sub-05,3,0.31875000000000003
sub-05,3,0.2841880341880342
sub-05,3,0.2987012987012987
sub-05,3,0.8823781400907184
sub-05,3,0.864270393302408
sub-05,3,0.894033923018454
sub-05,3,0.8594591513775103
sub-05,3,0.9043063158668568
sub-05,3,0.9330093109239793
sub-05,3,0.8876738804129568
sub-05,3,0.8497697874934373
sub-05,3,0.8132969623275289
sub-05,3,0.31210191082802546
sub-05,3,0.31983385254413293
sub-05,3,0.3219814241486068
sub-05,3,0.3109691160809372
sub-05,3,0.31875000000000003
sub-05,3,0.32091097308488614
sub-05,3,0.3241025641025641
sub-05,3,0.3241025641025641
sub-05,3,0.3230452674897119
sub-05,3,0.8783693295168705
sub-05,3,0.84058480152733
sub-05,3,0.8879262194717382
sub-05,3,0.9049392941668813
sub-05,3,0.5616255754186789
sub-05,3,0.8337186379627984
sub-05,3,0.8849583203102025
sub-05,3,0.8584620775483738
sub-05,3,0.8690371407956237
sub-05,3,0.45755919854280513
sub-05,4,0.8373976017484789
sub-05,4,0.9222157988992002
sub-05,4,0.9388023346717533
sub-05,4,0.3241025641025641
sub-05,4,0.931864530099598
sub-05,4,0.31875000000000003
sub-05,4,0.3230452674897119
sub-05,4,0.9728087019896928
sub-05,4,0.32515337423312884
sub-05,4,0.9302141289180753
sub-05,4,0.9057564708390329
sub-05,4,0.9334737412248288
sub-05,4,0.9108883319409635
sub-05,4,0.9519589371980676
sub-05,4,0.9072436272645704
sub-05,4,0.8864117023393403
sub-05,4,0.960500538127227
sub-05,4,0.9148601374389916
sub-05,4,0.9345995711137904
sub-05,4,0.9112095467417807
sub-05,4,0.31322751322751324
sub-05,4,0.32091097308488614
sub-05,4,0.3230452674897119
sub-05,4,0.3292929292929293
sub-05,4,0.3292929292929293
sub-05,4,0.3282674772036474
sub-05,4,0.3282674772036474
sub-05,4,0.977840126776297
sub-05,4,0.9721888954552519
sub-05,4,0.32723577235772355
sub-05,4,0.9528815876037123
sub-05,4,0.9066847527026903
sub-05,4,0.9157225664469242
sub-05,4,0.908998677076152
sub-05,4,0.873396501457726
sub-05,5,0.898760185395426
sub-05,5,0.9379100642983552
sub-05,5,0.7929932638121487
sub-05,5,0.9833416423011799
sub-05,5,0.9817239142729971
sub-05,5,0.9604895054808337
sub-05,5,0.9561743451105152
sub-05,5,0.9888734869045749
sub-05,5,0.32723577235772355
sub-05,5,0.9805523565100426
sub-05,5,0.9692798263237586
sub-05,5,0.9257712110826493
sub-05,5,0.9320637754950057
sub-05,5,0.9287278947703349
sub-05,5,0.937200120554551
sub-05,5,0.9881296456145399
sub-05,5,0.9845477742695107
sub-05,5,0.3292929292929293
sub-05,5,0.33233233233233234
sub-05,5,0.9873612024763228
sub-05,5,0.9303305948412822
sub-05,6,0.9609277485955697
sub-05,6,0.9926507798498857
sub-05,6,0.3292929292929293
sub-05,6,0.9891999769414004
sub-05,6,0.9962825661620842
sub-05,6,0.9465721719932348
sub-05,6,0.9929897263230597
sub-05,7,1.0
